,mouse,expDate,social mean agg,social mean net 1,social mean net 2,social mean net 3,object mean agg,object mean net 1,object mean net 2,object mean net 3
140,Mouse6662,041118,3.5663719177246094,0.10932844877243042,0.14788128435611725,0.041219376027584076,3.8382391929626465,0.11495838314294815,0.16096489131450653,0.03924630582332611
141,Mouse6662,041318,3.4092230796813965,0.10714980214834213,0.13968992233276367,0.04228397458791733,3.402498245239258,0.10739448666572571,0.13912083208560944,0.042790718376636505
142,Mouse6664,032618,3.847367286682129,0.07867097109556198,0.18228884041309357,0.051686663180589676,3.7184526920318604,0.07681386917829514,0.17572267353534698,0.04996924102306366
143,Mouse6664,040218,3.8480358123779297,0.0820518434047699,0.18054792284965515,0.04696183279156685,4.021624565124512,0.08699091523885727,0.18822011351585388,0.0432145819067955
144,Mouse6664,040418,3.8526835441589355,0.07946323603391647,0.18222464621067047,0.049788475036621094,3.8263418674468994,0.08290126174688339,0.17859749495983124,0.05042819678783417
145,Mouse6664,040618,3.711487054824829,0.07767962664365768,0.17419078946113586,0.0639248937368393,3.8517916202545166,0.08685431629419327,0.17790234088897705,0.048108331859111786
146,Mouse6664,040918,3.8598554134368896,0.08207356184720993,0.18035756051540375,0.0673929825425148,3.9948086738586426,0.08838068693876266,0.18535391986370087,0.05339076742529869
147,Mouse6664,041118,3.7494709491729736,0.08483168482780457,0.17240960896015167,0.060650784522295,3.6568527221679688,0.08349806070327759,0.16780579090118408,0.05679066851735115
148,Mouse6664,041318,3.400601863861084,0.07333286106586456,0.15834541618824005,0.05824403837323189,3.723991632461548,0.08328177779912949,0.1721566617488861,0.05224459990859032
149,Mouse6674,032618,3.1711020469665527,0.07888804376125336,0.14188335835933685,0.045212775468826294,3.418431043624878,0.08435429632663727,0.15320146083831787,0.052227869629859924
150,Mouse6674,040218,3.7005224227905273,0.08843390643596649,0.16787086427211761,0.04882749170064926,3.7553162574768066,0.09140677005052567,0.1696009486913681,0.044445380568504333
