scores,y_mouse,y_expDate,y_time,y_flx
15.852027,Mouse99003,072321,3175,1
8.608235,Mouse99003,072321,3176,1
9.848639,Mouse99003,072321,3177,1
7.493702,Mouse99003,072321,3178,1
8.376821,Mouse99003,072321,3179,1
10.897392,Mouse99003,072321,3180,1
12.357548,Mouse99003,072321,3181,1
8.891279,Mouse99003,072321,3182,1
8.0339985,Mouse99003,072321,3183,1
21.76731,Mouse99003,072321,3184,1
8.225851,Mouse99003,072321,3185,1
10.46893,Mouse99003,072321,3186,1
12.179438,Mouse99003,072321,3187,1
12.582978,Mouse99003,072321,3188,1
7.1291466,Mouse99003,072321,3189,1
9.1772785,Mouse99003,072321,3190,1
10.443104,Mouse99003,072321,3191,1
13.041814,Mouse99003,072321,3192,1
10.893641,Mouse99003,072321,3193,1
12.847191,Mouse99003,072321,3194,1
10.027506,Mouse99003,072321,3195,1
11.835367,Mouse99003,072321,3196,1
6.6720037,Mouse99003,072321,3197,1
6.1022754,Mouse99003,072321,3198,1
8.183315,Mouse99003,072321,3199,1
7.9758964,Mouse99003,072321,3200,1
11.80115,Mouse99003,072321,3201,1
11.4777975,Mouse99003,072321,3202,1
10.933182,Mouse99003,072321,3203,1
12.456796,Mouse99003,072321,3204,1
6.5136824,Mouse99003,072321,3205,1
10.913485,Mouse99003,072321,3206,1
6.720267,Mouse99003,072321,3207,1
12.667158,Mouse99003,072321,3208,1
7.5684757,Mouse99003,072321,3209,1
11.263434,Mouse99003,072321,3210,1
7.338143,Mouse99003,072321,3211,1
7.010903,Mouse99003,072321,3212,1
7.5081286,Mouse99003,072321,3213,1
11.7037945,Mouse99003,072321,3214,1
9.537902,Mouse99003,072321,3215,1
9.01472,Mouse99003,072321,3216,1
9.182044,Mouse99003,072321,3217,1
8.082831,Mouse99003,072321,3218,1
7.233845,Mouse99003,072321,3219,1
6.66853,Mouse99003,072321,3220,1
13.362819,Mouse99003,072321,3221,1
10.042511,Mouse99003,072321,3222,1
7.8020773,Mouse99003,072321,3223,1
9.997201,Mouse99003,072321,3224,1
7.89044,Mouse99003,072321,3225,1
8.929348,Mouse99003,072321,3226,1
4.81025,Mouse99003,072321,3227,1
9.085334,Mouse99003,072321,3228,1
13.156094,Mouse99003,072321,3229,1
13.745996,Mouse99003,072321,3230,1
5.874656,Mouse99003,072321,3231,1
12.343386,Mouse99003,072321,3232,1
8.21463,Mouse99003,072321,3233,1
